SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616556.013,3097760.448,6.558,0,634.298,Junction
2,616555.066,3097760.127,7.191,0,634.296,Junction
3,616554.119,3097759.805,7.927,0,634.294,Junction
4,616553.172,3097759.484,8.664,0,634.292,Junction
5,616552.225,3097759.163,9.401,0,634.29,Junction
6,616551.278,3097758.842,10.138,0,634.288,Junction
7,616550.331,3097758.521,10.874,0,634.286,Junction
8,616549.384,3097758.199,11.611,0,634.284,Junction
9,616548.437,3097757.878,12.348,0,634.282,Junction
10,616547.49,3097757.557,6.224,0,634.28,Normal
11,616546.543,3097757.236,6.224,0,634.278,Normal
12,616545.596,3097756.914,6,0,634.276,Normal
13,616544.649,3097756.593,6,0,634.274,Normal
14,616543.702,3097756.272,6,0,634.272,Normal
15,616542.755,3097755.951,6,0,634.27,Normal
16,616541.808,3097755.63,6,0,634.268,Normal
17,616540.861,3097755.308,6,0,634.266,Normal
18,616539.914,3097754.987,6,0,634.264,Normal
19,616538.967,3097754.666,6,0,634.262,Normal
20,616538.111,3097754.171,6.25,0,634.26,Normal
21,616537.311,3097753.572,6.17,0,634.258,Normal
22,616536.51,3097752.972,6.102,0,634.256,Normal
23,616535.71,3097752.372,6.052,0,634.254,Normal
24,616534.91,3097751.773,6.02,0,634.252,Normal
25,616534.109,3097751.173,6.002,0,634.25,Normal
26,616533.309,3097750.574,6.002,0,634.248,Normal
27,616532.509,3097749.974,6.016,0,634.246,Normal
28,616531.708,3097749.375,6.044,0,634.1835,Normal
29,616530.908,3097748.775,6.091,0,634.121,Normal
30,616530.108,3097748.176,6.155,0,634.0585,Normal
31,616529.307,3097747.576,6.238,0,633.996,Normal
32,616528.551,3097746.934,6,0,633.994,Normal
33,616527.977,3097746.115,6,0,633.992,Normal
34,616527.402,3097745.297,6,0,633.99,Normal
35,616526.828,3097744.478,6,0,633.988,Normal
36,616526.253,3097743.659,6,0,633.986,Normal
37,616525.679,3097742.841,6,0,633.9235,Normal
38,616525.105,3097742.022,6,0,633.861,Normal
39,616524.53,3097741.204,6,0,633.7985,Normal
40,616523.956,3097740.385,5.999,0,633.736,Normal
41,616523.381,3097739.567,5.999,0,633.734,Normal
42,616522.807,3097738.748,5.999,0,633.732,Normal
43,616522.232,3097737.93,5.999,0,633.73,Normal
44,616521.658,3097737.111,5.999,0,633.728,Normal
45,616521.083,3097736.293,5.999,0,633.726,Normal
46,616520.509,3097735.474,5.999,0,633.724,Normal
47,616519.934,3097734.656,5.999,0,633.722,Normal
48,616519.36,3097733.837,5.999,0,633.682,Normal
49,616518.786,3097733.019,5.999,0,633.642,Normal
50,616518.211,3097732.2,5.999,0,633.602,Normal
51,616517.637,3097731.381,5.993,0,633.562,Normal
52,616517.062,3097730.563,5.967,0,633.522,Normal
53,616516.488,3097729.744,5.94,0,633.482,Normal
54,616515.913,3097728.926,5.914,0,633.442,Normal
55,616515.339,3097728.107,5.888,0,633.402,Normal
56,616514.764,3097727.289,5.861,0,633.362,Normal
57,616514.19,3097726.47,5.835,0,633.322,Normal
58,616513.615,3097725.652,5.809,0,633.282,Normal
59,616513.041,3097724.833,5.782,0,633.242,Normal
60,616512.467,3097724.015,5.756,0,633.202,Normal
61,616511.892,3097723.196,5.73,0,633.162,Normal
62,616511.318,3097722.378,5.703,0,633.122,Normal
63,616510.743,3097721.559,5.677,0,633.082,Normal
64,616510.169,3097720.74,5.651,0,633.042,Normal
65,616509.594,3097719.922,5.624,0,633.002,Normal
